The graph BA3 has 1000 nodes and 2991 edges
BA3 1 / 84; |X|: 1, |Z|: 0; it: 1 DC
T: 0.2767293453216553; N: 0.23080158233642578BA3 7 / 84; |X|: 1, |Z|: 100; it: 27 DC
T: 0.4935142993927002; N: 0.21450424194335938BA3 7 / 84; |X|: 1, |Z|: 100; it: 28 DC
T: 0.3805043697357178; N: 0.31850671768188477BA3 7 / 84; |X|: 1, |Z|: 100; it: 29 DC
T: 0.21584057807922363; N: 0.20534706115722656BA3 7 / 84; |X|: 1, |Z|: 100; it: 30 DC
T: 0.2517051696777344; N: 0.32259273529052734BA3 8 / 84; |X|: 1, |Z|: 200; it: 1 DC
T: 0.2850155830383301; N: 0.33806943893432617BA3 8 / 84; |X|: 1, |Z|: 200; it: 2 DC
T: 0.2150418758392334; N: 0.24129295349121094BA3 8 / 84; |X|: 1, |Z|: 200; it: 3 DC
T: 0.3482205867767334; N: 0.3043520450592041BA3 8 / 84; |X|: 1, |Z|: 200; it: 4 DC
T: 0.24387311935424805; N: 0.31308937072753906BA3 8 / 84; |X|: 1, |Z|: 200; it: 5 DC
T: 0.4896082878112793; N: 0.2356739044189453BA3 8 / 84; |X|: 1, |Z|: 200; it: 6 DC
T: 0.25244140625; N: 0.3814082145690918BA3 8 / 84; |X|: 1, |Z|: 200; it: 7 DC
T: 0.5520219802856445; N: 0.41927289962768555BA3 8 / 84; |X|: 1, |Z|: 200; it: 8 DC
T: 0.3769392967224121; N: 0.14665436744689941BA3 8 / 84; |X|: 1, |Z|: 200; it: 9 DC
T: 0.19821763038635254; N: 0.31320691108703613BA3 8 / 84; |X|: 1, |Z|: 200; it: 10 DC
T: 0.33617687225341797; N: 0.2884697914123535BA3 8 / 84; |X|: 1, |Z|: 200; it: 11 DC
T: 0.4310154914855957; N: 0.32726383209228516BA3 8 / 84; |X|: 1, |Z|: 200; it: 12 DC
T: 0.6129624843597412; N: 0.26063990592956543BA3 8 / 84; |X|: 1, |Z|: 200; it: 13 DC
T: 0.531219482421875; N: 0.2838270664215088BA3 8 / 84; |X|: 1, |Z|: 200; it: 14 DC
T: 0.5475058555603027; N: 0.2341318130493164BA3 8 / 84; |X|: 1, |Z|: 200; it: 15 DC
T: 0.3159174919128418; N: 0.33663368225097656BA3 8 / 84; |X|: 1, |Z|: 200; it: 16 DC
T: 0.2608358860015869; N: 0.39712023735046387BA3 8 / 84; |X|: 1, |Z|: 200; it: 17 DC
T: 0.3778998851776123; N: 0.3305685520172119BA3 8 / 84; |X|: 1, |Z|: 200; it: 18 DC
T: 0.2676706314086914; N: 0.3801870346069336BA3 8 / 84; |X|: 1, |Z|: 200; it: 19 DC
T: 0.2688405513763428; N: 0.18841052055358887BA3 8 / 84; |X|: 1, |Z|: 200; it: 20 DC
T: 0.18507909774780273; N: 0.26999568939208984BA3 8 / 84; |X|: 1, |Z|: 200; it: 21 DC
T: 0.28647923469543457; N: 0.4082646369934082BA3 8 / 84; |X|: 1, |Z|: 200; it: 22 DC
T: 0.2771317958831787; N: 0.2453300952911377BA3 8 / 84; |X|: 1, |Z|: 200; it: 23 DC
T: 0.38773202896118164; N: 0.16394996643066406BA3 8 / 84; |X|: 1, |Z|: 200; it: 24 DC
T: 0.7905528545379639; N: 0.3597385883331299BA3 8 / 84; |X|: 1, |Z|: 200; it: 25 DC
T: 0.5908834934234619; N: 0.43732213973999023BA3 8 / 84; |X|: 1, |Z|: 200; it: 26 DC
T: 0.3061821460723877; N: 0.5782556533813477BA3 8 / 84; |X|: 1, |Z|: 200; it: 27 DC
T: 0.20264697074890137; N: 0.5555291175842285BA3 8 / 84; |X|: 1, |Z|: 200; it: 28 DC
T: 0.2660341262817383; N: 0.5185863971710205BA3 8 / 84; |X|: 1, |Z|: 200; it: 29 DC
T: 0.6371510028839111; N: 0.21268773078918457BA3 8 / 84; |X|: 1, |Z|: 200; it: 30 DC
T: 0.40363216400146484; N: 0.3052515983581543BA3 9 / 84; |X|: 1, |Z|: 500; it: 1 DC
T: 0.2911205291748047; N: 0.2640414237976074BA3 9 / 84; |X|: 1, |Z|: 500; it: 2 DC
T: 0.6286783218383789; N: 0.5804595947265625BA3 9 / 84; |X|: 1, |Z|: 500; it: 3 DC
T: 0.1558518409729004; N: 0.16411542892456055BA3 9 / 84; |X|: 1, |Z|: 500; it: 4 DC
T: 0.19990229606628418; N: 0.1519792079925537BA3 9 / 84; |X|: 1, |Z|: 500; it: 5 DC
